Date,SPY,QQQ,TLT,GLD,AAPL
2018-01-03,0.006305170046502038,0.009670151138914715,0.004769987960686031,-0.0026403330092135157,-0.00017397762396317374
2018-01-04,0.0042061486274206986,0.0017479600657900598,-0.00015873028631233917,0.005114278310262769,0.004634227242534664
2018-01-05,0.006642024265524362,0.009993173200628883,-0.0028592413541455,-0.001036702137934486,0.011320968790264407
2018-01-08,0.0018268108084442821,0.003883176323108428,-0.0006366093960038405,-0.0001596255390370604,-0.0037210614673263832
2018-01-09,0.0022608654543239165,6.140155589501759e-05,-0.013463045155240147,-0.004639219643041588,-0.00011493420356818804
2018-01-10,-0.0015312136698090676,-0.0023402812116763007,-0.00121124071229574,0.002402270692406848,-0.000229440317692215
2018-01-11,0.007269896417297192,0.006821118015971252,0.00411164261392449,0.003273877321212141,0.005664279390515635
2018-01-12,0.006497836085167697,0.007322146899428253,0.0016875412064764124,0.012044492942167013,0.01027323168646372
2018-01-16,-0.0034243913587386023,-0.00286159291281831,0.004167674938298268,0.001652690627169873,-0.005095291983804014
2018-01-17,0.009486893357447448,0.010733314284420415,-0.0013606227220567652,-0.008132363237354055,0.016381655816183137
2018-01-18,-0.0016823391995692695,0.0001808853161446408,-0.009333280677448241,-0.002222213448585594,0.0008927261162755238
2018-01-19,0.004539255275517972,0.0031312224628400427,-0.005268187392686854,0.0044394996120163946,-0.004472626542466688
2018-01-22,0.008098059324716696,0.010644157442019525,0.0009748095249324214,0.0018177059354296304,-0.008214890379940186
2018-01-23,0.0021199397154423503,0.008234013082727008,0.0042933778677545715,0.004961985943158681,0.00022601992276706726
2018-01-24,-0.0003883652433830604,-0.0065103489713080305,-0.005430435129690753,0.012104345577545294,-0.016056774693170222
2018-01-25,0.00042361362884538195,-0.00035652487014304826,0.00817498614029666,-0.006697849027902464,-0.01801237669290477
2018-01-26,0.011511702782515065,0.015208930069939761,-0.003714870703666464,0.0007811756386790387,0.002334774799215693
2018-01-29,-0.006652239150776396,-0.004867494422714119,-0.0069829549778884495,-0.005637857183470335,-0.02091544993952229
2018-01-30,-0.010309973268888101,-0.008264594281504245,-0.005883697718151708,-0.004328123373076199,-0.005911578046036095
2018-01-31,0.0004969036203970515,0.00414088257279583,0.005883697718151621,0.00668108957049156,0.002751205862529265
2018-02-01,-0.0011358348906749466,-0.008536945118872876,-0.014598644861321225,0.0032848909860550284,0.002088330248087801
2018-02-02,-0.022010533918559325,-0.020146649669508833,-0.009322500797324705,-0.013204686797240324,-0.0443600645691122
2018-02-05,-0.0427220103125063,-0.04022512170973834,0.009405347195891423,0.0025286437555192493,-0.025301760659428834
2018-02-06,0.019510467645383542,0.02615413315705909,-0.006232845144074043,-0.01055189964568088,0.040942200875782354
2018-02-07,-0.005439880470742948,-0.013023015288720002,-0.009548265288632318,-0.004716772083453344,-0.021639381053791838
2018-02-08,-0.038230450196390674,-0.04311042909080044,-0.0010951735444818956,0.001521419504394612,-0.027902292078951615
2018-02-09,0.014909874011138146,0.01712198012177152,-0.006338691802766818,-0.0016817358427458674,0.012157223152533723
2018-02-12,0.014577937265568858,0.0175895620783005,0.0043991570094431215,0.0047973715177869495,0.03948856557871709
2018-02-13,0.0024842546221434877,0.00514826613977056,0.004463933182515649,0.005647253596785453,0.009968075611465522
2018-02-14,0.013405825564297575,0.018550197117722107,-0.011154926858774254,0.0169088525197643,0.018269424058995083
2018-02-15,0.012679586501140995,0.018393944358821423,0.0033929127163170748,0.0011691607653979673,0.03302696789732539
2018-02-16,0.0002930537645113606,-0.0044758322634528185,0.005406673828677521,-0.0032769459911664296,-0.0032427696434802807
2018-02-20,-0.006281013426858824,0.0019986150892730065,-0.004390195490253734,-0.013532867750937797,-0.0033690608316085968
2018-02-21,-0.00498684844396451,-0.0028477236227579896,-0.012344062370876936,-0.004604964057785746,-0.004549264508777088
